,id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,host_temperature,host_radius,host_mass,right_ascension,declination
4722,4722,TOI-270 b,73.0,1.58 Earths,12.603,2019,Super Earth,1.206 x Earth,0.03197 AU,3.4 days,0.03,TOI-776,Transit,3709.0,0.54,0.54,11h54m18.72s,-37d33m12.08s
4723,4723,TOI-270 c,73.0,6.15 Earths,12.603,2019,Neptune-like,0.21 x Jupiter,0.04526 AU,5.7 days,0.03,TOI-776,Transit,3709.0,0.54,0.54,11h54m18.72s,-37d33m12.08s
4724,4724,TOI-270 d,73.0,4.78 Earths,12.603,2019,Neptune-like,2.133 x Earth,0.0721 AU,11.4 days,0.03,TOI-813,Transit,5907.0,1.94,1.32,04h50m46.56s,-60d54m19.66s
4725,4725,TOI-3362 b,1197.0,5.029 Jupiters,10.86,2021,Gas Giant,1.142 x Jupiter,0.153 AU,18.1 days,0.82,TOI-824,Transit,4600.0,0.69,0.71,14h48m39.71s,-57d35m19.92s
4726,4726,TOI-421 b,244.0,7.17 Earths,9.931,2020,Neptune-like,0.239 x Jupiter,0.056 AU,5.2 days,0.16,TOI-833,Transit,3920.0,0.6,0.61,09h42m34.91s,-62d28m33.19s
4727,4727,TOI-421 c,244.0,16.42 Earths,9.931,2020,Neptune-like,0.454 x Jupiter,0.1189 AU,16.1 days,0.15,TOI-837,Transit,6047.0,1.02,1.12,10h28m08.95s,-64d30m18.76s
4728,4728,TOI-431 b,106.0,3.07 Earths,9.12,2021,Super Earth,1.28 x Earth,0.0113 AU,0.5 days,0.0,TOI-849,Transit,5373.8,0.92,0.93,01h54m51.79s,-29d25m18.15s
4729,4729,TOI-431 c,106.0,2.83 Earths,9.12,2021,Super Earth,1.49 x Earth,0.052 AU,4.8 days,0.0,TOI-892,Transit,6261.0,1.39,1.28,05h46m57.17s,-11d14m07.22s
4730,4730,TOI-431 d,106.0,9.9 Earths,9.12,2021,Neptune-like,0.294 x Jupiter,0.098 AU,12.5 days,0.0,TOI-905,Transit,5570.0,0.92,0.97,15h10m38.08s,-71d21m41.87s
4731,4731,TOI-4329 b,2339.0,0.45 Jupiters,12.724,2022,Gas Giant,1.5 x Jupiter,Unknown,2.9 days,0.07,TOI-942,Transit,4928.0,1.02,0.79,05h06m35.91s,-20d14m44.21s
